Transaction Date,Value Date,Transaction Remarks,Cheque Number,Type,Transaction Amount,Balance
07-OCT-2025,07-OCT-2025,SMS ALERT CHARGES INCL GST,,DR,17.70,174504.70
08-OCT-2025,08-OCT-2025,IMPS CR-838835837-MERIDIAN LABS-INVOICE SETTLEMENT,,CR,53255.71,227760.41
08-OCT-2025,08-OCT-2025,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,DR,1535.47,226224.94
09-OCT-2025,09-OCT-2025,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,DR,2450.00,223774.94
10-OCT-2025,10-OCT-2025,POS 4021XXXXXXXX9489 CHAAYOS TEA CAFE,,DR,146.13,223628.81
10-OCT-2025,10-OCT-2025,UPI/759261143708/BLINKIT GROCERY/HDFC,,DR,1396.98,222231.83
11-OCT-2025,11-OCT-2025,ACH DR SPOTIFY INDIA PREMIUM,,DR,149.00,222082.83
11-OCT-2025,11-OCT-2025,UPI/732775544773/UBER INDIA SYSTEMS/HDFC,,DR,305.93,221776.90
11-OCT-2025,11-OCT-2025,UPI/931355583540/ZOMATO ONLINE ORDER/YESB,,DR,284.37,221492.53
12-OCT-2025,12-OCT-2025,UPI/293392402914/MAHANAGAR GAS BILL PAY/MGAS,,DR,936.41,220556.12
12-OCT-2025,12-OCT-2025,UPI/774967859072/BARBEQUE NATION HOSP/HDFC,,DR,3583.42,216972.70
14-OCT-2025,14-OCT-2025,POS 4195XXXXXXXX8424 CULT FIT FITNESS,,DR,1397.53,215575.17
14-OCT-2025,14-OCT-2025,UPI/175262262362/NYKAA ECOMM/ICIC,,DR,2276.45,213298.72
14-OCT-2025,14-OCT-2025,UPI/359604476266/AMAZON SELLER SERV REFUND/HDFC,,CR,2423.49,215722.21
14-OCT-2025,14-OCT-2025,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,DR,599.00,215123.21
15-OCT-2025,15-OCT-2025,POS 5361XXXXXXXX5346 IRCTC RAIL TICKET BOOKING,,DR,937.43,214185.78
15-OCT-2025,15-OCT-2025,UPI/755400939706/BEHROUZ BIRYANI/PAYTM,,DR,542.96,213642.82
16-OCT-2025,16-OCT-2025,ACH DR ADOBE CREATIVE CLOUD,,DR,1675.00,211967.82
16-OCT-2025,16-OCT-2025,UPI/221702065362/LICIOUS MEAT DELIVERY/HDFC,,DR,1112.86,210854.96
16-OCT-2025,16-OCT-2025,UPI/715972556601/NAMMA YATRI/AXIS,,DR,328.97,210525.99
17-OCT-2025,17-OCT-2025,ATW-4746XXXXXXXX4843-HDFC BANK ATM CASH WITHDRAWAL,,DR,3000.00,207525.99
17-OCT-2025,17-OCT-2025,UPI/566392016947/SWIGGY FOOD ORDER/HDFC,,DR,550.02,206975.97
18-OCT-2025,18-OCT-2025,IMPS CR-611632261-NORTHWIND SAAS-INVOICE SETTLEMENT,,CR,58828.31,265804.28
18-OCT-2025,18-OCT-2025,UPI/382306985510/ZOMATO ONLINE ORDER/YESB,,DR,942.52,264861.76
18-OCT-2025,18-OCT-2025,UPI/746281874743/CRED CLUB CREDIT CARD BILL/AXIS,,DR,7123.00,257738.76
19-OCT-2025,19-OCT-2025,ACH DR GOOGLE ONE STORAGE,,DR,210.00,257528.76
19-OCT-2025,19-OCT-2025,POS 4166XXXXXXXX1642 MYNTRA DESIGNS PVT LTD,,DR,2505.64,255023.12
20-OCT-2025,20-OCT-2025,NEFT DR-DR MEHTA MULTISPECIALITY-MEDICAL PROCEDURE,,DR,72000.00,183023.12
20-OCT-2025,20-OCT-2025,UPI/540590231681/BEHROUZ BIRYANI/PAYTM,,DR,500.80,182522.32
21-OCT-2025,21-OCT-2025,POS 5202XXXXXXXX5217 AMAZON SELLER SERVICES,,DR,8275.38,174246.94
22-OCT-2025,22-OCT-2025,POS 4769XXXXXXXX8638 TANISHQ JEWELLERY DIWALI,,DR,28589.28,145657.66
22-OCT-2025,22-OCT-2025,UPI/270704565710/ZOMATO ONLINE ORDER/YESB,,DR,690.54,144967.12
25-OCT-2025,25-OCT-2025,POS 5266XXXXXXXX1895 IKEA INDIA PVT LTD,,DR,11669.51,133297.61
25-OCT-2025,25-OCT-2025,POS 5334XXXXXXXX9407 STARBUCKS COFFEE INDIA,,DR,440.87,132856.74
26-OCT-2025,26-OCT-2025,POS 4906XXXXXXXX3250 PRACTO CONSULT,,DR,503.66,132353.08
27-OCT-2025,27-OCT-2025,UPI/904345020742/DOMINOS PIZZA IND/ICIC,,DR,708.16,131644.92
28-OCT-2025,28-OCT-2025,UPI/329506352709/SWIGGY FOOD ORDER/HDFC,,DR,631.86,131013.06
28-OCT-2025,28-OCT-2025,UPI/382608232246/FLIPKART INTERNET/HDFC,,DR,3127.48,127885.58
30-OCT-2025,30-OCT-2025,POS 5438XXXXXXXX7940 AMAZON SELLER SERVICES,,DR,4259.35,123626.23
30-OCT-2025,30-OCT-2025,POS 5483XXXXXXXX5528 DMART AVENUE SUPERMARTS,,DR,3612.59,120013.64
31-OCT-2025,31-OCT-2025,POS 5057XXXXXXXX7947 IKEA INDIA PVT LTD,,DR,2617.98,117395.66
31-OCT-2025,31-OCT-2025,UPI/735809008050/BLINKIT GROCERY/HDFC,,DR,891.99,116503.67
01-NOV-2025,01-NOV-2025,POS 4760XXXXXXXX2524 MCDONALDS INDIA PVT,,DR,583.66,115920.01
01-NOV-2025,01-NOV-2025,UPI/601777112810/BIGBASKET SUPERMKT/ICIC,,DR,3042.03,112877.98
02-NOV-2025,02-NOV-2025,POS 4251XXXXXXXX5157 MCDONALDS INDIA PVT,,DR,393.00,112484.98
02-NOV-2025,02-NOV-2025,UPI/753120576426/ZEPTO NOW/YESB,,DR,817.77,111667.21
02-NOV-2025,02-NOV-2025,UPI/764485726403/NOBROKER PAY RENT LANDLORD/HDFC,,DR,28000.00,83667.21
03-NOV-2025,03-NOV-2025,IMPS CR-383718482-BLUEPRINT STUDIO-INVOICE SETTLEMENT,,CR,60249.68,143916.89
05-NOV-2025,05-NOV-2025,UPI/277971001372/ZEPTO NOW/YESB,,DR,705.38,143211.51
05-NOV-2025,05-NOV-2025,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,DR,1199.00,142012.51
06-NOV-2025,06-NOV-2025,POS 5592XXXXXXXX7629 THIRD WAVE COFFEE,,DR,190.93,141821.58
06-NOV-2025,06-NOV-2025,UPI/319336178457/COUNTRY DELIGHT MILK/AXIS,,DR,409.65,141411.93
06-NOV-2025,06-NOV-2025,UPI/692028862173/ZERODHA BROKING MF SIP/ZERO,,DR,12000.00,129411.93
07-NOV-2025,07-NOV-2025,ACH DR NETFLIX ENTERTAINMENT SVC,,DR,649.00,128762.93
07-NOV-2025,07-NOV-2025,UPI/940464098432/UBER INDIA SYSTEMS/HDFC,,DR,316.90,128446.03
08-NOV-2025,08-NOV-2025,POS 4677XXXXXXXX1679 LAKME SALON,,DR,1551.35,126894.68
08-NOV-2025,08-NOV-2025,POS 4989XXXXXXXX4028 THIRD WAVE COFFEE,,DR,336.53,126558.15
08-NOV-2025,08-NOV-2025,UPI/392183545550/PAYTM FASTAG RECHARGE/PYTM,,DR,573.91,125984.24
08-NOV-2025,08-NOV-2025,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,DR,1265.05,124719.19
09-NOV-2025,09-NOV-2025,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,DR,2450.00,122269.19
09-NOV-2025,09-NOV-2025,POS 5166XXXXXXXX9222 IKEA INDIA PVT LTD,,DR,10701.21,111567.98
09-NOV-2025,09-NOV-2025,POS 5285XXXXXXXX2639 CHAAYOS TEA CAFE,,DR,351.42,111216.56
10-NOV-2025,10-NOV-2025,IMPS CR-352986077-MERIDIAN LABS-INVOICE SETTLEMENT,,CR,60166.32,171382.88
10-NOV-2025,10-NOV-2025,UPI/818496415490/ZOMATO ONLINE ORDER/YESB,,DR,451.74,170931.14
11-NOV-2025,11-NOV-2025,ACH DR SPOTIFY INDIA PREMIUM,,DR,149.00,170782.14
11-NOV-2025,11-NOV-2025,ATW-4821XXXXXXXX7838-HDFC BANK ATM CASH WITHDRAWAL,,DR,10000.00,160782.14
11-NOV-2025,11-NOV-2025,IMPS CR-724329866-BLUEPRINT STUDIO-INVOICE SETTLEMENT,,CR,38628.29,199410.43
12-NOV-2025,12-NOV-2025,UPI/628221513847/MAHANAGAR GAS BILL PAY/MGAS,,DR,699.83,198710.60
13-NOV-2025,13-NOV-2025,POS 4683XXXXXXXX3194 LAKME SALON,,DR,1408.44,197302.16
13-NOV-2025,13-NOV-2025,UPI/669815635869/SWIGGY FOOD ORDER/HDFC,,DR,212.25,197089.91
14-NOV-2025,14-NOV-2025,UPI/790872069465/DOMINOS PIZZA IND/ICIC,,DR,506.94,196582.97
14-NOV-2025,14-NOV-2025,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,DR,599.00,195983.97
15-NOV-2025,15-NOV-2025,POS 4391XXXXXXXX5345 IKEA INDIA PVT LTD,,DR,11033.28,184950.69
15-NOV-2025,15-NOV-2025,UPI/344814965150/BEHROUZ BIRYANI/PAYTM,,DR,1318.53,183632.16
15-NOV-2025,15-NOV-2025,UPI/396029881448/UBER INDIA SYSTEMS/HDFC,,DR,487.22,183144.94
15-NOV-2025,15-NOV-2025,UPI/919327316801/ZEPTO NOW/YESB,,DR,743.33,182401.61
16-NOV-2025,16-NOV-2025,ACH DR ADOBE CREATIVE CLOUD,,DR,1675.00,180726.61
16-NOV-2025,16-NOV-2025,UPI/589305897744/COUNTRY DELIGHT MILK/AXIS,,DR,570.65,180155.96
17-NOV-2025,17-NOV-2025,POS 4220XXXXXXXX8992 IRCTC RAIL TICKET BOOKING,,DR,2209.40,177946.56
19-NOV-2025,19-NOV-2025,ACH DR GOOGLE ONE STORAGE,,DR,210.00,177736.56
19-NOV-2025,19-NOV-2025,POS 4358XXXXXXXX9380 LAKME SALON,,DR,877.62,176858.94
19-NOV-2025,19-NOV-2025,POS 4573XXXXXXXX6573 DMART AVENUE SUPERMARTS,,DR,2924.91,173934.03
20-NOV-2025,20-NOV-2025,POS 5316XXXXXXXX5946 CHAAYOS TEA CAFE,,DR,153.40,173780.63
21-NOV-2025,21-NOV-2025,UPI/570115408632/OLA CABS ANI TECH/PAYTM,,DR,200.78,173579.85
22-NOV-2025,22-NOV-2025,POS 4607XXXXXXXX3371 DMART AVENUE SUPERMARTS,,DR,2778.83,170801.02
22-NOV-2025,22-NOV-2025,POS 4813XXXXXXXX1987 THIRD WAVE COFFEE,,DR,403.64,170397.38
22-NOV-2025,22-NOV-2025,UPI/498973129997/UBER INDIA SYSTEMS/HDFC,,DR,170.22,170227.16
23-NOV-2025,23-NOV-2025,POS 5347XXXXXXXX2154 THIRD WAVE COFFEE,,DR,269.42,169957.74
23-NOV-2025,23-NOV-2025,UPI/130176284571/CRED CLUB CREDIT CARD BILL/AXIS,,DR,6282.95,163674.79
27-NOV-2025,27-NOV-2025,UPI/432915300017/OLA CABS ANI TECH/PAYTM,,DR,284.14,163390.65
29-NOV-2025,29-NOV-2025,POS 4317XXXXXXXX5800 PVR CINEMAS LTD,,DR,1146.37,162244.28
29-NOV-2025,29-NOV-2025,POS 4892XXXXXXXX6544 STARBUCKS COFFEE INDIA,,DR,384.23,161860.05
30-NOV-2025,30-NOV-2025,POS 5065XXXXXXXX4343 STARBUCKS COFFEE INDIA,,DR,626.17,161233.88
30-NOV-2025,30-NOV-2025,UPI/248726997436/OLA CABS ANI TECH/PAYTM,,DR,128.50,161105.38
02-DEC-2025,02-DEC-2025,UPI/356022903404/NOBROKER PAY RENT LANDLORD/HDFC,,DR,28000.00,133105.38
04-DEC-2025,04-DEC-2025,POS 5467XXXXXXXX2441 IKEA INDIA PVT LTD,,DR,9803.15,123302.23
04-DEC-2025,04-DEC-2025,UPI/201846349210/BEHROUZ BIRYANI/PAYTM,,DR,857.19,122445.04
05-DEC-2025,05-DEC-2025,POS 4478XXXXXXXX5627 STARBUCKS COFFEE INDIA,,DR,335.24,122109.80
05-DEC-2025,05-DEC-2025,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,DR,1199.00,120910.80
06-DEC-2025,06-DEC-2025,POS 4098XXXXXXXX7938 MYNTRA DESIGNS PVT LTD,,DR,1209.74,119701.06
06-DEC-2025,06-DEC-2025,UPI/573329616250/ZERODHA BROKING MF SIP/ZERO,,DR,12000.00,107701.06
07-DEC-2025,07-DEC-2025,ACH DR NETFLIX ENTERTAINMENT SVC,,DR,649.00,107052.06
07-DEC-2025,07-DEC-2025,UPI/254981410690/LICIOUS MEAT DELIVERY/HDFC,,DR,670.57,106381.49
07-DEC-2025,07-DEC-2025,UPI/522013985108/UBER INDIA SYSTEMS/HDFC,,DR,580.92,105800.57
08-DEC-2025,08-DEC-2025,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,DR,2314.50,103486.07
09-DEC-2025,09-DEC-2025,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,DR,2450.00,101036.07
09-DEC-2025,09-DEC-2025,POS 4414XXXXXXXX6634 STARBUCKS COFFEE INDIA,,DR,365.67,100670.40
10-DEC-2025,10-DEC-2025,POS 4650XXXXXXXX8221 STARBUCKS COFFEE INDIA,,DR,356.57,100313.83
10-DEC-2025,10-DEC-2025,UPI/315508220426/NAMMA YATRI/AXIS,,DR,340.02,99973.81
11-DEC-2025,11-DEC-2025,ACH DR SPOTIFY INDIA PREMIUM,,DR,149.00,99824.81
11-DEC-2025,11-DEC-2025,UPI/706743683264/PAYTM FASTAG RECHARGE/PYTM,,DR,448.59,99376.22
12-DEC-2025,12-DEC-2025,UPI/252560862565/MAHANAGAR GAS BILL PAY/MGAS,,DR,973.46,98402.76
13-DEC-2025,13-DEC-2025,IMPS CR-864332078-MERIDIAN LABS-INVOICE SETTLEMENT,,CR,94539.05,192941.81
13-DEC-2025,13-DEC-2025,UPI/651652669273/BEHROUZ BIRYANI/PAYTM,,DR,1053.85,191887.96
13-DEC-2025,13-DEC-2025,UPI/789528276418/ZEPTO NOW/YESB,,DR,735.78,191152.18
14-DEC-2025,14-DEC-2025,NEFT DR-INCOME TAX DEPT-ADVANCE TAX INSTALMENT,,DR,84074.29,107077.89
14-DEC-2025,14-DEC-2025,POS 4699XXXXXXXX6408 STEAM GAMES VALVE CORP,,DR,1183.74,105894.15
14-DEC-2025,14-DEC-2025,UPI/897629627986/SWIGGY FOOD ORDER/HDFC,,DR,435.17,105458.98
14-DEC-2025,14-DEC-2025,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,DR,599.00,104859.98
15-DEC-2025,15-DEC-2025,POS 4797XXXXXXXX4371 HPCL PETROL PUMP,,DR,2431.31,102428.67
15-DEC-2025,15-DEC-2025,POS 5559XXXXXXXX6263 AMAZON SELLER SERVICES,,DR,5007.88,97420.79
16-DEC-2025,16-DEC-2025,ACH DR ADOBE CREATIVE CLOUD,,DR,1675.00,95745.79
16-DEC-2025,16-DEC-2025,ATW-4560XXXXXXXX2262-HDFC BANK ATM CASH WITHDRAWAL,,DR,2000.00,93745.79
17-DEC-2025,17-DEC-2025,POS 4482XXXXXXXX3463 LAKME SALON,,DR,739.49,93006.30
17-DEC-2025,17-DEC-2025,POS 4673XXXXXXXX2344 AMAZON SELLER SERVICES,,DR,3725.64,89280.66
17-DEC-2025,17-DEC-2025,UPI/287552974138/CRED CLUB CREDIT CARD BILL/AXIS,,DR,8541.49,80739.17
17-DEC-2025,17-DEC-2025,UPI/450335083481/RAPIDO BIKE TAXI/YESB,,DR,77.22,80661.95
18-DEC-2025,18-DEC-2025,UPI/885878706394/LICIOUS MEAT DELIVERY/HDFC,,DR,1393.62,79268.33
19-DEC-2025,19-DEC-2025,ACH DR GOOGLE ONE STORAGE,,DR,210.00,79058.33
19-DEC-2025,19-DEC-2025,UPI/284585815174/BEHROUZ BIRYANI/PAYTM,,DR,722.53,78335.80
20-DEC-2025,20-DEC-2025,UPI/702694798321/DOMINOS PIZZA IND/ICIC,,DR,500.29,77835.51
20-DEC-2025,20-DEC-2025,UPI/935316504297/OLA CABS ANI TECH/PAYTM,,DR,282.38,77553.13
21-DEC-2025,21-DEC-2025,IMPS CR-624514199-BLUEPRINT STUDIO-INVOICE SETTLEMENT,,CR,137622.63,215175.76
22-DEC-2025,22-DEC-2025,POS 5423XXXXXXXX6407 CULT FIT FITNESS,,DR,1739.31,213436.45
23-DEC-2025,23-DEC-2025,UPI/138471052899/PAYTM FASTAG RECHARGE/PYTM,,DR,445.43,212991.02
24-DEC-2025,24-DEC-2025,ATW-5242XXXXXXXX8395-HDFC BANK ATM CASH WITHDRAWAL,,DR,10000.00,202991.02
25-DEC-2025,25-DEC-2025,UPI/240936032667/FLIPKART INTERNET/HDFC,,DR,6346.46,196644.56
25-DEC-2025,25-DEC-2025,UPI/533686250894/NAMMA YATRI/AXIS,,DR,133.27,196511.29
27-DEC-2025,27-DEC-2025,POS 4178XXXXXXXX8337 PVR CINEMAS LTD,,DR,550.26,195961.03
27-DEC-2025,27-DEC-2025,POS 5035XXXXXXXX3147 LAKME SALON,,DR,745.95,195215.08
27-DEC-2025,27-DEC-2025,UPI/703822205936/BEHROUZ BIRYANI/PAYTM,,DR,775.36,194439.72
27-DEC-2025,27-DEC-2025,UPI/814482150614/PAYTM FASTAG RECHARGE/PYTM,,DR,633.72,193806.00
28-DEC-2025,28-DEC-2025,POS 5036XXXXXXXX7708 MCDONALDS INDIA PVT,,DR,718.51,193087.49
28-DEC-2025,28-DEC-2025,POS 5443XXXXXXXX9671 PVR CINEMAS LTD,,DR,1046.53,192040.96
30-DEC-2025,30-DEC-2025,POS 4974XXXXXXXX6706 CHAAYOS TEA CAFE,,DR,282.57,191758.39
01-JAN-2026,01-JAN-2026,UPI/419913716294/DOMINOS PIZZA IND/ICIC,,DR,853.35,190905.04
01-JAN-2026,01-JAN-2026,UPI/827041629092/NAMMA YATRI/AXIS,,DR,177.73,190727.31
02-JAN-2026,02-JAN-2026,POS 4700XXXXXXXX1406 MYNTRA DESIGNS PVT LTD,,DR,1491.21,189236.10
02-JAN-2026,02-JAN-2026,UPI/693195847782/DOMINOS PIZZA IND/ICIC,,DR,559.83,188676.27
02-JAN-2026,02-JAN-2026,UPI/874370785699/NOBROKER PAY RENT LANDLORD/HDFC,,DR,28000.00,160676.27
03-JAN-2026,03-JAN-2026,POS 4407XXXXXXXX6328 DMART AVENUE SUPERMARTS,,DR,3360.15,157316.12
03-JAN-2026,03-JAN-2026,UPI/647697656554/BARBEQUE NATION HOSP/HDFC,,DR,3647.77,153668.35
03-JAN-2026,03-JAN-2026,UPI/666577246108/BOOKMYSHOW TICKETS/HDFC,,DR,551.68,153116.67
04-JAN-2026,04-JAN-2026,POS 5481XXXXXXXX1713 THIRD WAVE COFFEE,,DR,229.24,152887.43
04-JAN-2026,04-JAN-2026,UPI/863892805582/LICIOUS MEAT DELIVERY/HDFC,,DR,613.87,152273.56
05-JAN-2026,05-JAN-2026,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,DR,1199.00,151074.56
06-JAN-2026,06-JAN-2026,UPI/677974002837/ZERODHA BROKING MF SIP/ZERO,,DR,12000.00,139074.56
07-JAN-2026,07-JAN-2026,ACH DR NETFLIX ENTERTAINMENT SVC,,DR,649.00,138425.56
07-JAN-2026,07-JAN-2026,UPI/947818995629/RAPIDO BIKE TAXI/YESB,,DR,193.22,138232.34
08-JAN-2026,08-JAN-2026,POS 4467XXXXXXXX3039 AMAZON SELLER SERVICES,,DR,4434.35,133797.99
08-JAN-2026,08-JAN-2026,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,DR,1853.04,131944.95
09-JAN-2026,09-JAN-2026,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,DR,2450.00,129494.95
09-JAN-2026,09-JAN-2026,UPI/312340149895/RAPIDO BIKE TAXI/YESB,,DR,88.78,129406.17
09-JAN-2026,09-JAN-2026,UPI/781259522208/COUNTRY DELIGHT MILK/AXIS,,DR,530.90,128875.27
10-JAN-2026,10-JAN-2026,UPI/137718460098/UBER INDIA SYSTEMS/HDFC,,DR,279.64,128595.63
10-JAN-2026,10-JAN-2026,UPI/146061000981/BIGBASKET SUPERMKT/ICIC,,DR,2787.85,125807.78
11-JAN-2026,11-JAN-2026,ACH DR SPOTIFY INDIA PREMIUM,,DR,149.00,125658.78
11-JAN-2026,11-JAN-2026,UPI/263874624429/UBER INDIA SYSTEMS/HDFC,,DR,629.73,125029.05
11-JAN-2026,11-JAN-2026,UPI/411119016226/BOOKMYSHOW TICKETS/HDFC,,DR,568.61,124460.44
12-JAN-2026,12-JAN-2026,UPI/272492991525/MAHANAGAR GAS BILL PAY/MGAS,,DR,798.43,123662.01
13-JAN-2026,13-JAN-2026,UPI/871799729499/ZOMATO ONLINE ORDER/YESB,,DR,444.20,123217.81
14-JAN-2026,14-JAN-2026,UPI/361541857022/LICIOUS MEAT DELIVERY/HDFC,,DR,1077.37,122140.44
14-JAN-2026,14-JAN-2026,UPI/440183173920/UBER INDIA SYSTEMS/HDFC,,DR,159.84,121980.60
14-JAN-2026,14-JAN-2026,UPI/AUTOPAY/JIO POSTPAID BILL/RJIO,,DR,726.00,121254.60
16-JAN-2026,16-JAN-2026,ACH DR ADOBE CREATIVE CLOUD,,DR,1675.00,119579.60
17-JAN-2026,17-JAN-2026,ATW-4878XXXXXXXX4448-HDFC BANK ATM CASH WITHDRAWAL,,DR,3000.00,116579.60
18-JAN-2026,18-JAN-2026,POS 4308XXXXXXXX3798 IRCTC RAIL TICKET BOOKING,,DR,1753.91,114825.69
18-JAN-2026,18-JAN-2026,UPI/534029643772/CRED CLUB CREDIT CARD BILL/AXIS,,DR,5713.23,109112.46
18-JAN-2026,18-JAN-2026,UPI/642244149400/ZEPTO NOW/YESB,,DR,667.74,108444.72
18-JAN-2026,18-JAN-2026,UPI/927826309193/DOMINOS PIZZA IND/ICIC,,DR,1136.08,107308.64
19-JAN-2026,19-JAN-2026,ACH DR GOOGLE ONE STORAGE,,DR,210.00,107098.64
19-JAN-2026,19-JAN-2026,POS 4321XXXXXXXX4251 CULT FIT FITNESS,,DR,1379.67,105718.97
19-JAN-2026,19-JAN-2026,POS 4411XXXXXXXX5686 STARBUCKS COFFEE INDIA,,DR,260.81,105458.16
20-JAN-2026,20-JAN-2026,IMPS CR-962961938-NORTHWIND SAAS-INVOICE SETTLEMENT,,CR,37280.08,142738.24
20-JAN-2026,20-JAN-2026,POS 5582XXXXXXXX4263 CHAAYOS TEA CAFE,,DR,217.35,142520.89
21-JAN-2026,21-JAN-2026,UPI/460417585363/BEHROUZ BIRYANI/PAYTM,,DR,704.85,141816.04
22-JAN-2026,22-JAN-2026,UPI/180229383390/PHARMEASY ONLINE/ICIC,,DR,999.18,140816.86
23-JAN-2026,23-JAN-2026,UPI/104412560142/COUNTRY DELIGHT MILK/AXIS,,DR,611.14,140205.72
24-JAN-2026,24-JAN-2026,UPI/177962311783/UBER INDIA SYSTEMS/HDFC,,DR,276.72,139929.00
24-JAN-2026,24-JAN-2026,UPI/957891600439/DOMINOS PIZZA IND/ICIC,,DR,878.92,139050.08
25-JAN-2026,25-JAN-2026,UPI/755689686374/BIGBASKET SUPERMKT/ICIC,,DR,1101.57,137948.51
26-JAN-2026,26-JAN-2026,UPI/695438678878/ZOMATO ONLINE ORDER/YESB,,DR,662.47,137286.04
27-JAN-2026,27-JAN-2026,POS 4257XXXXXXXX4611 STARBUCKS COFFEE INDIA,,DR,371.86,136914.18
27-JAN-2026,27-JAN-2026,UPI/453334672377/NAMMA YATRI/AXIS,,DR,253.90,136660.28
28-JAN-2026,28-JAN-2026,POS 5129XXXXXXXX3636 CHAAYOS TEA CAFE,,DR,321.55,136338.73
29-JAN-2026,29-JAN-2026,UPI/204111675080/WOW MOMO FOODS/AXIS,,DR,252.47,136086.26
29-JAN-2026,29-JAN-2026,UPI/892208262153/URBAN COMPANY SALON/HDFC,,DR,1634.09,134452.17
31-JAN-2026,31-JAN-2026,POS 4991XXXXXXXX8224 DMART AVENUE SUPERMARTS,,DR,2793.95,131658.22
31-JAN-2026,31-JAN-2026,UPI/354624915491/RAPIDO BIKE TAXI/YESB,,DR,82.58,131575.64
01-FEB-2026,01-FEB-2026,POS 5190XXXXXXXX1606 THIRD WAVE COFFEE,,DR,488.63,131087.01
01-FEB-2026,01-FEB-2026,POS 5330XXXXXXXX4343 IRCTC RAIL TICKET BOOKING,,DR,1606.34,129480.67
01-FEB-2026,01-FEB-2026,UPI/410870969857/ZEPTO NOW/YESB,,DR,905.70,128574.97
02-FEB-2026,02-FEB-2026,POS 4340XXXXXXXX1955 IRCTC RAIL TICKET BOOKING,,DR,510.46,128064.51
02-FEB-2026,02-FEB-2026,SMS ALERT CHARGES INCL GST,,DR,23.60,128040.91
02-FEB-2026,02-FEB-2026,UPI/255128413722/NOBROKER PAY RENT LANDLORD/HDFC,,DR,28000.00,100040.91
02-FEB-2026,02-FEB-2026,UPI/342613731076/URBAN COMPANY SALON/HDFC,,DR,1229.64,98811.27
04-FEB-2026,04-FEB-2026,POS 4858XXXXXXXX6921 CHAAYOS TEA CAFE,,DR,134.09,98677.18
05-FEB-2026,05-FEB-2026,UPI/AUTOPAY/AIRTEL BROADBAND BILL/AIRT,,DR,1199.00,97478.18
06-FEB-2026,06-FEB-2026,UPI/600418016786/ZERODHA BROKING MF SIP/ZERO,,DR,12000.00,85478.18
07-FEB-2026,07-FEB-2026,ACH DR NETFLIX ENTERTAINMENT SVC,,DR,649.00,84829.18
07-FEB-2026,07-FEB-2026,IMPS CR-648328231-BLUEPRINT STUDIO-INVOICE SETTLEMENT,,CR,54441.96,139271.14
07-FEB-2026,07-FEB-2026,POS 5104XXXXXXXX1590 STARBUCKS COFFEE INDIA,,DR,441.90,138829.24
07-FEB-2026,07-FEB-2026,UPI/489067299543/BIGBASKET SUPERMKT/ICIC,,DR,2725.20,136104.04
08-FEB-2026,08-FEB-2026,IMPS CR-144767649-MERIDIAN LABS-INVOICE SETTLEMENT,,CR,68302.84,204406.88
08-FEB-2026,08-FEB-2026,UPI/344833214511/BARBEQUE NATION HOSP/HDFC,,DR,2900.37,201506.51
08-FEB-2026,08-FEB-2026,UPI/892219307599/COUNTRY DELIGHT MILK/AXIS,,DR,527.45,200979.06
08-FEB-2026,08-FEB-2026,UPI/AUTOPAY/BESCOM ELECTRICITY BILL/BESC,,DR,1314.99,199664.07
09-FEB-2026,09-FEB-2026,ACH DR HDFC ERGO HEALTH INSURANCE PREM,,DR,2450.00,197214.07
10-FEB-2026,10-FEB-2026,POS 5125XXXXXXXX5673 IRCTC RAIL TICKET BOOKING,,DR,1539.28,195674.79
10-FEB-2026,10-FEB-2026,UPI/933601560201/APOLLO PHARMACY/HDFC,,DR,970.45,194704.34
11-FEB-2026,11-FEB-2026,ACH DR SPOTIFY INDIA PREMIUM,,DR,149.00,194555.34
11-FEB-2026,11-FEB-2026,UPI/392888347677/COUNTRY DELIGHT MILK/AXIS,,DR,572.48,193982.86
11-FEB-2026,11-FEB-2026,UPI/890536833985/BARBEQUE NATION HOSP/HDFC,,DR,1943.58,192039.28
12-FEB-2026,12-FEB-2026,POS 4247XXXXXXXX7959 STARBUCKS COFFEE INDIA,,DR,353.59,191685.69
12-FEB-2026,12-FEB-2026,UPI/895596933049/MAHANAGAR GAS BILL PAY/MGAS,,DR,674.90,191010.79
13-FEB-2026,13-FEB-2026,ATW-5410XXXXXXXX8055-HDFC BANK ATM CASH WITHDRAWAL,,DR,3000.00,188010.79
13-FEB-2026,13-FEB-2026,UPI/104846885424/WOW MOMO FOODS/AXIS,,DR,284.60,187726.19
